Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
6998653.0,ChatGPT,864,115,979,Conversation log
6999200.0,ChatGPT,853,105,958,Conversation log
6999373.0,ChatGPT,594,409,1003,Conversation log
7001123.0,ChatGPT,797,120,917,Conversation log
7005237.0,ChatGPT,95,192,287,Conversation log
7005457.0,ChatGPT,1026,250,1276,Conversation log
7009313.0,ChatGPT,111,111,222,Conversation log
7009438.0,ChatGPT,118,108,226,Conversation log
7018390.0,ChatGPT,988,285,1273,Conversation log
7019789.0,ChatGPT,1148,262,1410,Conversation log
7019846.0,ChatGPT,1222,367,1589,Conversation log
7033226.0,ChatGPT,167,500,667,Conversation log
7033242.0,ChatGPT,17,154,171,Conversation log
7033383.0,ChatGPT,691,149,840,Conversation log
7033404.0,ChatGPT,182,276,458,Conversation log
7033603.0,ChatGPT,1453,484,1937,Conversation log
7033687.0,ChatGPT,1976,243,2219,Conversation log
7033957.0,ChatGPT,14,163,177,Conversation log
7034039.0,ChatGPT,452,79,531,Conversation log
7034041.0,ChatGPT,252,484,736,Conversation log
7034438.0,ChatGPT,932,627,1559,Conversation log
7034722.0,ChatGPT,549,179,728,Conversation log
7034807.0,ChatGPT,336,321,657,Conversation log
7034842.0,ChatGPT,1012,362,1374,Conversation log
7034917.0,ChatGPT,27,498,525,Conversation log
7035269.0,ChatGPT,1689,73,1762,Conversation log
7035301.0,ChatGPT,1709,222,1931,Conversation log
7035379.0,ChatGPT,21,266,287,Conversation log
7035412.0,ChatGPT,1406,260,1666,Conversation log
7035493.0,ChatGPT,1804,302,2106,Conversation log
7035523.0,ChatGPT,1995,122,2117,Conversation log
7035640.0,ChatGPT,1057,343,1400,Conversation log
7035794.0,ChatGPT,1179,395,1574,Conversation log
7035943.0,ChatGPT,757,188,945,Conversation log
7035955.0,ChatGPT,1698,332,2030,Conversation log
7035965.0,ChatGPT,1511,418,1929,Conversation log
7036015.0,ChatGPT,1682,449,2131,Conversation log
7036053.0,ChatGPT,785,204,989,Conversation log
7036216.0,ChatGPT,1806,451,2257,Conversation log
7036416.0,ChatGPT,404,248,652,Conversation log
7036440.0,ChatGPT,671,2048,2719,Conversation log
7036570.0,ChatGPT,258,282,540,Conversation log
7036595.0,ChatGPT,799,282,1081,Conversation log
7036614.0,ChatGPT,1629,744,2373,Conversation log
7036655.0,ChatGPT,3158,1498,4656,Conversation log
7037321.0,ChatGPT,1264,275,1539,Conversation log
7037567.0,ChatGPT,1195,167,1362,Conversation log
7037711.0,ChatGPT,2740,346,3086,Conversation log
7037787.0,ChatGPT,1013,98,1111,Conversation log
7037927.0,ChatGPT,1037,278,1315,Conversation log
7038073.0,ChatGPT,1225,164,1389,Conversation log
7038125.0,ChatGPT,827,258,1085,Conversation log
7038235.0,ChatGPT,279,266,545,Conversation log
7038236.0,ChatGPT,3186,107,3293,Conversation log
7038244.0,ChatGPT,34,94,128,Conversation log
7038273.0,ChatGPT,148,164,312,Conversation log
7038293.0,ChatGPT,333,131,464,Conversation log
7038324.0,ChatGPT,177,144,321,Conversation log
7038343.0,ChatGPT,497,140,637,Conversation log
7038373.0,ChatGPT,669,354,1023,Conversation log
7038452.0,ChatGPT,594,41,635,Conversation log
7038517.0,ChatGPT,924,443,1367,Conversation log
7038537.0,ChatGPT,28,3,31,Conversation log
7038585.0,ChatGPT,1200,239,1439,Conversation log
7038790.0,ChatGPT,1307,474,1781,Conversation log
7038871.0,ChatGPT,1647,420,2067,Conversation log
7038928.0,ChatGPT,1708,260,1968,Conversation log
7038973.0,ChatGPT,1527,211,1738,Conversation log
7039032.0,ChatGPT,39,455,494,Conversation log
7039091.0,ChatGPT,541,519,1060,Conversation log
7039121.0,ChatGPT,3395,209,3604,Conversation log
7039290.0,ChatGPT,303,76,379,Conversation log
7039483.0,ChatGPT,3719,191,3910,Conversation log
7039625.0,ChatGPT,298,265,563,Conversation log
7040484.0,ChatGPT,65,250,315,Conversation log
7040583.0,ChatGPT,1180,221,1401,Conversation log
7041103.0,ChatGPT,246,709,955,Conversation log
7043752.0,ChatGPT,20,319,339,Conversation log
7043790.0,ChatGPT,756,576,1332,Conversation log
7045040.0,ChatGPT,30,197,227,Conversation log
7045477.0,ChatGPT,20,219,239,Conversation log
7045851.0,ChatGPT,91,80,171,Conversation log
7047385.0,ChatGPT,255,234,489,Conversation log
7047407.0,ChatGPT,505,165,670,Conversation log
7047583.0,ChatGPT,163,318,481,Conversation log
7048556.0,ChatGPT,516,299,815,Conversation log
7048868.0,ChatGPT,882,393,1275,Conversation log
7049059.0,ChatGPT,22,14,36,Conversation log
7049079.0,ChatGPT,46,14,60,Conversation log
7049126.0,ChatGPT,87,21,108,Conversation log
7049342.0,ChatGPT,1301,84,1385,Conversation log
7049392.0,ChatGPT,1405,338,1743,Conversation log
7049824.0,ChatGPT,1284,125,1409,Conversation log
7050088.0,ChatGPT,1158,395,1553,Conversation log
7050150.0,ChatGPT,368,120,488,Conversation log
7050164.0,ChatGPT,1120,459,1579,Conversation log
7050252.0,ChatGPT,1486,221,1707,Conversation log
7050284.0,ChatGPT,1371,125,1496,Conversation log
7050298.0,ChatGPT,17,174,191,Conversation log
7050413.0,ChatGPT,50,35,85,Conversation log
7050442.0,ChatGPT,1371,181,1552,Conversation log
7050458.0,ChatGPT,22,186,208,Conversation log
7050644.0,ChatGPT,666,144,810,Conversation log
7050692.0,ChatGPT,68,57,125,Conversation log
7051324.0,ChatGPT,1341,237,1578,Conversation log
7051383.0,ChatGPT,2246,302,2548,Conversation log
7051389.0,ChatGPT,15,103,118,Conversation log
7051645.0,ChatGPT,2096,198,2294,Conversation log
7052203.0,ChatGPT,2117,201,2318,Conversation log
7052568.0,ChatGPT,2256,284,2540,Conversation log
7052663.0,ChatGPT,2382,190,2572,Conversation log
7052753.0,ChatGPT,16,199,215,Conversation log
7052831.0,ChatGPT,236,251,487,Conversation log
7052958.0,ChatGPT,504,210,714,Conversation log
7053002.0,ChatGPT,1162,413,1575,Conversation log
7053145.0,ChatGPT,57,43,100,Conversation log
7053346.0,ChatGPT,165,51,216,Conversation log
7053427.0,ChatGPT,172,37,209,Conversation log
7053796.0,ChatGPT,733,213,946,Conversation log
7054086.0,ChatGPT,463,429,892,Conversation log
7054102.0,ChatGPT,137,143,280,Conversation log
7054122.0,ChatGPT,19,549,568,Conversation log
7054144.0,ChatGPT,23,315,338,Conversation log
7054179.0,ChatGPT,361,404,765,Conversation log
7054286.0,ChatGPT,75,181,256,Conversation log
7054378.0,ChatGPT,277,167,444,Conversation log
7054490.0,ChatGPT,200,53,253,Conversation log
7054678.0,ChatGPT,965,185,1150,Conversation log
7054815.0,ChatGPT,28,86,114,Conversation log
7054866.0,ChatGPT,131,28,159,Conversation log
7054897.0,ChatGPT,176,14,190,Conversation log
7054964.0,ChatGPT,217,38,255,Conversation log
7055112.0,ChatGPT,1412,390,1802,Conversation log
7055186.0,ChatGPT,1849,331,2180,Conversation log
7055307.0,ChatGPT,603,500,1103,Conversation log
7055387.0,ChatGPT,2080,265,2345,Conversation log
7055454.0,ChatGPT,933,347,1280,Conversation log
7055556.0,ChatGPT,502,498,1000,Conversation log
7055615.0,ChatGPT,1406,168,1574,Conversation log
7055633.0,ChatGPT,1130,505,1635,Conversation log
7056013.0,ChatGPT,961,222,1183,Conversation log
7056054.0,ChatGPT,17,7,24,Conversation log
7056089.0,ChatGPT,1650,279,1929,Conversation log
7056114.0,ChatGPT,86,31,117,Conversation log
7056134.0,ChatGPT,1108,522,1630,Conversation log
7056151.0,ChatGPT,214,143,357,Conversation log
7056283.0,ChatGPT,375,65,440,Conversation log
7056294.0,ChatGPT,40,32,72,Conversation log
7056310.0,ChatGPT,33,262,295,Conversation log
7056312.0,ChatGPT,481,155,636,Conversation log
7056386.0,ChatGPT,660,181,841,Conversation log
7056391.0,ChatGPT,400,484,884,Conversation log
7056429.0,ChatGPT,772,160,932,Conversation log
7056436.0,ChatGPT,1975,415,2390,Conversation log
7056493.0,ChatGPT,1380,487,1867,Conversation log
7056545.0,ChatGPT,282,58,340,Conversation log
7056716.0,ChatGPT,737,177,914,Conversation log
7056762.0,ChatGPT,846,171,1017,Conversation log
7056845.0,ChatGPT,381,31,412,Conversation log
7056917.0,ChatGPT,119,216,335,Conversation log
7057003.0,ChatGPT,453,32,485,Conversation log
7057022.0,ChatGPT,46,861,907,Conversation log
7057205.0,ChatGPT,59,20,79,Conversation log
7057234.0,ChatGPT,92,20,112,Conversation log
7057250.0,ChatGPT,125,20,145,Conversation log
7057268.0,ChatGPT,952,561,1513,Conversation log
7057283.0,ChatGPT,241,155,396,Conversation log
7057360.0,ChatGPT,412,113,525,Conversation log
7057410.0,ChatGPT,538,99,637,Conversation log
7057479.0,ChatGPT,1503,481,1984,Conversation log
7057553.0,ChatGPT,68,491,559,Conversation log
7057594.0,ChatGPT,2188,324,2512,Conversation log
7057627.0,ChatGPT,1541,466,2007,Conversation log
7057682.0,ChatGPT,2286,62,2348,Conversation log
7057957.0,ChatGPT,2705,332,3037,Conversation log
7058112.0,ChatGPT,446,49,495,Conversation log
7058130.0,ChatGPT,16,99,115,Conversation log
7058279.0,ChatGPT,20,147,167,Conversation log
7058318.0,ChatGPT,188,182,370,Conversation log
7058359.0,ChatGPT,2191,270,2461,Conversation log
7058545.0,ChatGPT,661,414,1075,Conversation log
7058637.0,ChatGPT,451,241,692,Conversation log
7058855.0,ChatGPT,1117,373,1490,Conversation log
7058893.0,ChatGPT,17,195,212,Conversation log
