Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
7000273.0,GPT-4,991,49,1040,API log
7000373.0,GPT-4,991,60,1051,API log
7000395.0,GPT-4,829,60,889,API log
7000454.0,GPT-4,832,60,892,API log
7000467.0,GPT-4,830,60,890,API log
7000558.0,GPT-4,832,60,892,API log
7000621.0,GPT-4,662,10,672,API log
7039012.0,GPT-4,839,13,852,API log
7039119.0,GPT-4,905,33,938,API log
7039178.0,GPT-4,708,31,739,API log
7039309.0,GPT-4,1352,45,1397,API log
7039350.0,GPT-4,756,18,774,API log
7039386.0,GPT-4,716,22,738,API log
7039428.0,GPT-4,757,6,763,API log
7039524.0,GPT-4,959,31,990,API log
7039652.0,GPT-4,865,25,890,API log
7039690.0,GPT-4,1141,46,1187,API log
7039873.0,GPT-4,949,21,970,API log
7039987.0,GPT-4,958,32,990,API log
7040018.0,GPT-4,1328,35,1363,API log
7040059.0,GPT-4,874,52,926,API log
7040114.0,GPT-4,870,43,913,API log
7040179.0,GPT-4,686,36,722,API log
7040212.0,GPT-4,659,29,688,API log
7040477.0,GPT-4,721,17,738,API log
7040634.0,GPT-4,1078,35,1113,API log
7040682.0,GPT-4,904,37,941,API log
7040769.0,GPT-4,1035,21,1056,API log
7040811.0,GPT-4,847,39,886,API log
7040887.0,GPT-4,953,26,979,API log
7040908.0,GPT-4,1221,1,1222,API log
7040931.0,GPT-4,974,26,1000,API log
7041172.0,GPT-4,947,41,988,API log
7041186.0,GPT-4,1044,24,1068,API log
7041261.0,GPT-4,868,28,896,API log
7041281.0,GPT-4,876,13,889,API log
7041304.0,GPT-4,1238,30,1268,API log
7041341.0,GPT-4,1265,26,1291,API log
7041413.0,GPT-4,1031,33,1064,API log
7041440.0,GPT-4,1039,33,1072,API log
7041559.0,GPT-4,952,28,980,API log
7041590.0,GPT-4,1059,24,1083,API log
7041620.0,GPT-4,1350,44,1394,API log
7041672.0,GPT-4,1448,74,1522,API log
7041695.0,GPT-4,740,18,758,API log
7041825.0,GPT-4,726,34,760,API log
7041856.0,GPT-4,695,30,725,API log
7041873.0,GPT-4,716,34,750,API log
7041894.0,GPT-4,723,51,774,API log
7041938.0,GPT-4,838,46,884,API log
7041970.0,GPT-4,752,40,792,API log
7042017.0,GPT-4,844,41,885,API log
7042054.0,GPT-4,847,6,853,API log
7042073.0,GPT-4,1054,83,1137,API log
7042179.0,GPT-4,871,32,903,API log
