Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
118,GPT-4,417,276,693,Conversation log
233,GPT-4,586,293,879,Conversation log
560,GPT-4,549,362,911,Conversation log
686,GPT-4,969,206,1175,Conversation log
771,GPT-4,1574,501,2075,Conversation log
1611,GPT-4,1327,239,1566,Conversation log
2273,GPT-4,92,95,187,Conversation log
2608,GPT-4,1840,378,2218,Conversation log
3232,GPT-4,1741,428,2169,Conversation log
4798,GPT-4,614,323,937,Conversation log
6882,GPT-4,20,86,106,Conversation log
6998,GPT-4,127,268,395,Conversation log
7442,GPT-4,665,167,832,Conversation log
7982,GPT-4,855,297,1152,Conversation log
8052,GPT-4,1191,30,1221,Conversation log
8126,GPT-4,18,67,85,Conversation log
8208,GPT-4,101,148,249,Conversation log
8258,GPT-4,264,76,340,Conversation log
32004,GPT-4,380,210,590,Conversation log
32680,GPT-4,99,470,569,Conversation log
34102,GPT-4,974,513,1487,Conversation log
34146,GPT-4,1512,368,1880,Conversation log
34294,GPT-4,32,262,294,Conversation log
34601,GPT-4,15,115,130,Conversation log
34615,GPT-4,145,314,459,Conversation log
34680,GPT-4,477,297,774,Conversation log
34746,GPT-4,189,253,442,Conversation log
34770,GPT-4,585,26,611,Conversation log
34802,GPT-4,757,211,968,Conversation log
34824,GPT-4,203,200,403,Conversation log
34890,GPT-4,978,197,1175,Conversation log
34896,GPT-4,188,181,369,Conversation log
34911,GPT-4,226,362,588,Conversation log
34943,GPT-4,163,19,182,Conversation log
34995,GPT-4,389,221,610,Conversation log
35096,GPT-4,603,339,942,Conversation log
35132,GPT-4,19,380,399,Conversation log
35149,GPT-4,33,82,115,Conversation log
35156,GPT-4,342,231,573,Conversation log
35161,GPT-4,161,22,183,Conversation log
35168,GPT-4,419,385,804,Conversation log
35227,GPT-4,210,17,227,Conversation log
35374,GPT-4,466,60,526,Conversation log
35576,GPT-4,58,26,84,Conversation log
35816,GPT-4,45,32,77,Conversation log
35837,GPT-4,273,25,298,Conversation log
35894,GPT-4,820,26,846,Conversation log
35898,GPT-4,788,188,976,Conversation log
36097,GPT-4,695,16,711,Conversation log
36116,GPT-4,146,299,445,Conversation log
36121,GPT-4,149,256,405,Conversation log
36173,GPT-4,985,74,1059,Conversation log
36246,GPT-4,1958,737,2695,Conversation log
36282,GPT-4,36,505,541,Conversation log
36352,GPT-4,74,404,478,Conversation log
36385,GPT-4,567,416,983,Conversation log
36447,GPT-4,995,454,1449,Conversation log
36607,GPT-4,29,2,31,Conversation log
36626,GPT-4,1475,485,1960,Conversation log
36638,GPT-4,1025,405,1430,Conversation log
36646,GPT-4,391,25,416,Conversation log
36673,GPT-4,347,147,494,Conversation log
36701,GPT-4,510,599,1109,Conversation log
36804,GPT-4,1995,663,2658,Conversation log
36868,GPT-4,500,238,738,Conversation log
36915,GPT-4,2126,379,2505,Conversation log
36989,GPT-4,145,45,190,Conversation log
37000,GPT-4,752,280,1032,Conversation log
37106,GPT-4,29,213,242,Conversation log
37117,GPT-4,112,110,222,Conversation log
37183,GPT-4,41,552,593,Conversation log
37198,GPT-4,28,231,259,Conversation log
37235,GPT-4,275,225,500,Conversation log
37272,GPT-4,251,23,274,Conversation log
37274,GPT-4,18,70,88,Conversation log
37277,GPT-4,281,239,520,Conversation log
37376,GPT-4,106,329,435,Conversation log
37408,GPT-4,449,192,641,Conversation log
37442,GPT-4,96,260,356,Conversation log
37538,GPT-4,690,170,860,Conversation log
37806,GPT-4,248,53,301,Conversation log
37808,GPT-4,386,17,403,Conversation log
37831,GPT-4,749,344,1093,Conversation log
37868,GPT-4,27,209,236,Conversation log
37886,GPT-4,244,65,309,Conversation log
37914,GPT-4,91,63,154,Conversation log
37929,GPT-4,170,42,212,Conversation log
37982,GPT-4,258,171,429,Conversation log
38019,GPT-4,536,236,772,Conversation log
38041,GPT-4,359,22,381,Conversation log
38069,GPT-4,472,213,685,Conversation log
38070,GPT-4,437,31,468,Conversation log
38074,GPT-4,19,307,326,Conversation log
38151,GPT-4,338,71,409,Conversation log
38172,GPT-4,426,369,795,Conversation log
38235,GPT-4,517,27,544,Conversation log
38256,GPT-4,46,462,508,Conversation log
38321,GPT-4,1422,348,1770,Conversation log
38354,GPT-4,599,112,711,Conversation log
38449,GPT-4,13,85,98,Conversation log
38515,GPT-4,668,473,1141,Conversation log
38600,GPT-4,22,242,264,Conversation log
38617,GPT-4,52,180,232,Conversation log
38680,GPT-4,86,411,497,Conversation log
38706,GPT-4,491,179,670,Conversation log
