Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
6998599.0,GPT-4,3044,723,3767,Conversation log
6999106.0,GPT-4,381,1658,2039,Conversation log
6999527.0,GPT-4,2078,1444,3522,Conversation log
7000920.0,GPT-4,1139,91,1230,Conversation log
7001125.0,GPT-4,635,159,794,Conversation log
7002565.0,GPT-4,233,187,420,Conversation log
7002845.0,GPT-4,517,569,1086,Conversation log
7005248.0,GPT-4,198,288,486,Conversation log
7005386.0,GPT-4,761,248,1009,Conversation log
7005597.0,GPT-4,1107,289,1396,Conversation log
7006204.0,GPT-4,1494,257,1751,Conversation log
7008952.0,GPT-4,197,659,856,Conversation log
7016701.0,GPT-4,1052,858,1910,Conversation log
7016852.0,GPT-4,1961,644,2605,Conversation log
7031595.0,GPT-4,41,758,799,Conversation log
7031853.0,GPT-4,811,413,1224,Conversation log
7034312.0,GPT-4,37,420,457,Conversation log
7035492.0,GPT-4,150,215,365,Conversation log
7035513.0,GPT-4,980,830,1810,Conversation log
7035656.0,GPT-4,1832,1034,2866,Conversation log
7035924.0,GPT-4,10,17,27,Conversation log
7037202.0,GPT-4,305,321,626,Conversation log
7037595.0,GPT-4,1429,498,1927,Conversation log
7037700.0,GPT-4,134,80,214,Conversation log
7038049.0,GPT-4,1949,759,2708,Conversation log
7038151.0,GPT-4,49,731,780,Conversation log
7038244.0,GPT-4,275,1008,1283,Conversation log
7038482.0,GPT-4,812,693,1505,Conversation log
7038715.0,GPT-4,88,106,194,Conversation log
7038733.0,GPT-4,1530,684,2214,Conversation log
7038747.0,GPT-4,205,64,269,Conversation log
7039083.0,GPT-4,51,740,791,Conversation log
7039301.0,GPT-4,844,539,1383,Conversation log
7039495.0,GPT-4,29,9,38,Conversation log
7039951.0,GPT-4,60,928,988,Conversation log
7040376.0,GPT-4,25,51,76,Conversation log
7040402.0,GPT-4,1539,1084,2623,Conversation log
7041131.0,GPT-4,257,937,1194,Conversation log
7041421.0,GPT-4,41,3,44,Conversation log
7041455.0,GPT-4,69,114,183,Conversation log
7041521.0,GPT-4,230,125,355,Conversation log
7041751.0,GPT-4,29,37,66,Conversation log
7041851.0,GPT-4,3002,798,3800,Conversation log
7043752.0,GPT-4,752,332,1084,Conversation log
7046097.0,GPT-4,83,19,102,Conversation log
7047049.0,GPT-4,46,808,854,Conversation log
7047364.0,GPT-4,230,82,312,Conversation log
7048478.0,GPT-4,2463,429,2892,Conversation log
7048706.0,GPT-4,97,30,127,Conversation log
7049153.0,GPT-4,4442,631,5073,Conversation log
7049407.0,GPT-4,26,542,568,Conversation log
7049616.0,GPT-4,5141,482,5623,Conversation log
7049822.0,GPT-4,5660,511,6171,Conversation log
7050877.0,GPT-4,588,532,1120,Conversation log
7051274.0,GPT-4,126,91,217,Conversation log
7051287.0,GPT-4,280,85,365,Conversation log
7051348.0,GPT-4,4381,605,4986,Conversation log
7051402.0,GPT-4,474,55,529,Conversation log
7051497.0,GPT-4,627,39,666,Conversation log
7051621.0,GPT-4,971,240,1211,Conversation log
7051685.0,GPT-4,22,634,656,Conversation log
7051859.0,GPT-4,1096,126,1222,Conversation log
7052157.0,GPT-4,1140,12,1152,Conversation log
7052292.0,GPT-4,1057,20,1077,Conversation log
7052419.0,GPT-4,669,735,1404,Conversation log
7052440.0,GPT-4,1006,14,1020,Conversation log
7052520.0,GPT-4,1158,477,1635,Conversation log
7052780.0,GPT-4,1462,53,1515,Conversation log
7052851.0,GPT-4,337,3,340,Conversation log
7052859.0,GPT-4,3842,876,4718,Conversation log
7052912.0,GPT-4,317,831,1148,Conversation log
7052937.0,GPT-4,5115,654,5769,Conversation log
7053055.0,GPT-4,18,590,608,Conversation log
7053070.0,GPT-4,196,168,364,Conversation log
7053208.0,GPT-4,81,173,254,Conversation log
7053526.0,GPT-4,321,121,442,Conversation log
7053696.0,GPT-4,244,400,644,Conversation log
7053864.0,GPT-4,1618,58,1676,Conversation log
7053891.0,GPT-4,1998,252,2250,Conversation log
7053914.0,GPT-4,625,568,1193,Conversation log
7053989.0,GPT-4,2331,87,2418,Conversation log
7054060.0,GPT-4,2800,238,3038,Conversation log
7054262.0,GPT-4,4836,956,5792,Conversation log
7054502.0,GPT-4,200,171,371,Conversation log
7054670.0,GPT-4,410,173,583,Conversation log
7054829.0,GPT-4,648,512,1160,Conversation log
7054845.0,GPT-4,1212,644,1856,Conversation log
7055045.0,GPT-4,509,129,638,Conversation log
7055247.0,GPT-4,1303,116,1419,Conversation log
7055310.0,GPT-4,982,84,1066,Conversation log
7055357.0,GPT-4,91,69,160,Conversation log
7055509.0,GPT-4,222,219,441,Conversation log
7055573.0,GPT-4,712,133,845,Conversation log
7055675.0,GPT-4,914,133,1047,Conversation log
7055718.0,GPT-4,217,1215,1432,Conversation log
7056134.0,GPT-4,3063,441,3504,Conversation log
7056218.0,GPT-4,2976,526,3502,Conversation log
7056251.0,GPT-4,192,105,297,Conversation log
7056414.0,GPT-4,40,107,147,Conversation log
7056466.0,GPT-4,58,649,707,Conversation log
7056484.0,GPT-4,164,282,446,Conversation log
7056520.0,GPT-4,19,594,613,Conversation log
7056612.0,GPT-4,361,37,398,Conversation log
7056633.0,GPT-4,479,238,717,Conversation log
7056739.0,GPT-4,429,21,450,Conversation log
7056776.0,GPT-4,46,35,81,Conversation log
7056835.0,GPT-4,98,311,409,Conversation log
7056944.0,GPT-4,4530,129,4659,Conversation log
7057099.0,GPT-4,202,210,412,Conversation log
7057199.0,GPT-4,636,634,1270,Conversation log
7057219.0,GPT-4,15,207,222,Conversation log
7057453.0,GPT-4,650,184,834,Conversation log
7057894.0,GPT-4,35,762,797,Conversation log
7058517.0,GPT-4,409,518,927,Conversation log
7058695.0,GPT-4,29,28,57,Conversation log
7058967.0,GPT-4,945,635,1580,Conversation log
7059186.0,GPT-4,1611,553,2164,Conversation log
7059408.0,GPT-4,2012,554,2566,Conversation log
7059525.0,GPT-4,108,51,159,Conversation log
7059731.0,GPT-4,62,77,139,Conversation log
7060340.0,GPT-4,494,482,976,Conversation log
7061647.0,GPT-4,72,595,667,Conversation log
7061690.0,GPT-4,32,804,836,Conversation log
7062397.0,GPT-4,243,103,346,Conversation log
7062533.0,GPT-4,3064,590,3654,Conversation log
7062794.0,GPT-4,2626,531,3157,Conversation log
7062952.0,GPT-4,2349,381,2730,Conversation log
7063159.0,GPT-4,2324,666,2990,Conversation log
7063245.0,GPT-4,121,1099,1220,Conversation log
7063698.0,GPT-4,188,963,1151,Conversation log
7063897.0,GPT-4,41,705,746,Conversation log
7063922.0,GPT-4,309,258,567,Conversation log
7063926.0,GPT-4,41,662,703,Conversation log
7064209.0,GPT-4,46,693,739,Conversation log
7064520.0,GPT-4,18,520,538,Conversation log
7064542.0,GPT-4,1187,344,1531,Conversation log
7064634.0,GPT-4,785,211,996,Conversation log
